线程数,申请次数,申请时间,释放时间
1,20000,35,4
1,20000,25,8
1,20000,19,6
1,20000,19,7
1,20000,15,13
1,20000,23,8
1,20000,16,9
1,20000,24,6
1,20000,20,6
1,20000,10,13
1,20000,20,6
1,20000,17,7
1,20000,22,7
1,20000,21,5
1,20000,8,16
1,20000,17,7
1,20000,22,5
1,20000,16,8
1,20000,19,6
1,20000,18,11
1,20000,20,8
1,20000,21,9
1,20000,21,5
1,20000,17,7
1,20000,13,14
1,20000,21,7
1,20000,15,10
1,20000,20,5
1,20000,19,9
1,20000,25,5
1,20000,20,4
1,20000,16,7
1,20000,18,8
1,20000,13,13
1,20000,25,6
1,20000,21,10
1,20000,19,9
1,20000,19,8
1,20000,16,8
1,20000,19,7
1,20000,35,15
1,20000,21,7
1,20000,19,8
1,20000,21,10
1,20000,19,6
1,20000,20,4
1,20000,20,5
1,20000,21,4
1,20000,18,7
1,20000,19,6
1,20000,20,8
1,20000,19,5
1,20000,17,8
1,20000,26,5
1,20000,22,6
1,20000,24,5
1,20000,20,6
1,20000,24,14
1,20000,14,10
1,20000,14,10
1,20000,17,6
1,20000,20,5
1,20000,21,8
1,20000,20,8
1,20000,16,8
1,20000,16,9
1,20000,18,9
1,20000,17,8
1,20000,18,5
1,20000,20,5
1,20000,20,4
1,20000,19,5
1,20000,17,12
1,20000,19,9
1,20000,25,9
1,20000,16,10
1,20000,23,11
1,20000,20,8
1,20000,22,7
1,20000,27,7
1,20000,26,7
1,20000,18,9
1,20000,28,11
1,20000,22,11
1,20000,17,15
1,20000,27,7
1,20000,23,13
1,20000,24,10
1,20000,27,7
1,20000,22,9
1,20000,22,10
1,20000,23,14
1,20000,19,11
1,20000,21,9
1,20000,19,9
1,20000,22,7
1,20000,13,14
1,20000,23,10
1,20000,16,9
1,20000,17,11
2,20000,43,18
2,20000,52,13
2,20000,42,23
2,20000,42,23
2,20000,45,25
2,20000,46,17
2,20000,72,47
2,20000,54,17
2,20000,42,16
2,20000,47,17
2,20000,49,19
2,20000,46,17
2,20000,43,19
2,20000,47,26
2,20000,86,27
2,20000,47,23
2,20000,45,15
2,20000,45,19
2,20000,52,23
2,20000,52,18
2,20000,33,27
2,20000,45,22
2,20000,45,20
2,20000,49,14
2,20000,37,22
2,20000,47,25
2,20000,39,32
2,20000,40,20
2,20000,42,17
2,20000,62,16
2,20000,41,14
2,20000,56,17
2,20000,40,20
2,20000,51,20
2,20000,52,14
2,20000,46,16
2,20000,43,22
2,20000,39,32
2,20000,55,18
2,20000,59,22
2,20000,57,21
2,20000,36,26
2,20000,39,26
2,20000,45,23
2,20000,44,22
2,20000,59,25
2,20000,42,29
2,20000,61,16
2,20000,48,19
2,20000,41,21
2,20000,44,18
2,20000,39,24
2,20000,47,24
2,20000,42,19
2,20000,42,21
2,20000,39,23
2,20000,44,19
2,20000,43,28
2,20000,48,20
2,20000,39,21
2,20000,47,43
2,20000,46,28
2,20000,53,16
2,20000,37,24
2,20000,53,24
2,20000,48,17
2,20000,43,13
2,20000,42,17
2,20000,43,30
2,20000,50,25
2,20000,42,18
2,20000,40,20
2,20000,54,16
2,20000,48,20
2,20000,44,19
2,20000,53,15
2,20000,61,26
2,20000,50,15
2,20000,51,19
2,20000,57,24
2,20000,53,19
2,20000,42,20
2,20000,45,21
2,20000,46,14
2,20000,47,22
2,20000,56,22
2,20000,60,14
2,20000,39,18
2,20000,34,22
2,20000,36,26
2,20000,41,24
2,20000,54,12
2,20000,44,19
2,20000,42,20
2,20000,47,21
2,20000,39,19
2,20000,40,18
2,20000,51,15
2,20000,51,19
2,20000,52,22
3,20000,71,35
3,20000,70,36
3,20000,71,34
3,20000,78,26
3,20000,68,33
3,20000,73,25
3,20000,78,44
3,20000,81,38
3,20000,77,27
3,20000,77,30
3,20000,95,42
3,20000,82,36
3,20000,80,39
3,20000,83,38
3,20000,80,27
3,20000,93,22
3,20000,71,46
3,20000,79,36
3,20000,75,32
3,20000,83,34
3,20000,67,35
3,20000,87,29
3,20000,75,37
3,20000,84,42
3,20000,83,21
3,20000,84,39
3,20000,88,36
3,20000,88,41
3,20000,76,42
3,20000,80,34
3,20000,66,30
3,20000,65,34
3,20000,100,42
3,20000,157,75
3,20000,79,31
3,20000,81,38
3,20000,78,29
3,20000,80,40
3,20000,81,44
3,20000,85,42
3,20000,77,44
3,20000,91,42
3,20000,87,38
3,20000,81,31
3,20000,80,50
3,20000,76,33
3,20000,78,40
3,20000,95,27
3,20000,85,37
3,20000,74,30
3,20000,83,37
3,20000,91,40
3,20000,88,35
3,20000,80,35
3,20000,76,26
3,20000,74,30
3,20000,79,41
3,20000,81,46
3,20000,84,35
3,20000,85,34
3,20000,72,29
3,20000,85,24
3,20000,176,58
3,20000,59,46
3,20000,81,30
3,20000,83,29
3,20000,78,19
3,20000,81,32
3,20000,77,38
3,20000,91,30
3,20000,70,35
3,20000,88,28
3,20000,71,40
3,20000,93,32
3,20000,80,29
3,20000,77,33
3,20000,78,27
3,20000,92,41
3,20000,85,29
3,20000,80,38
3,20000,84,28
3,20000,80,38
3,20000,92,30
3,20000,87,40
3,20000,71,42
3,20000,87,37
3,20000,73,34
3,20000,81,36
3,20000,79,46
3,20000,84,25
3,20000,94,23
3,20000,96,38
3,20000,80,40
3,20000,93,38
3,20000,76,32
3,20000,80,37
3,20000,79,42
3,20000,68,32
3,20000,85,33
3,20000,74,36
4,20000,106,44
4,20000,132,51
4,20000,132,38
4,20000,132,45
4,20000,133,51
4,20000,125,50
4,20000,122,43
4,20000,138,42
4,20000,113,55
4,20000,126,40
4,20000,111,57
4,20000,110,44
4,20000,111,41
4,20000,118,43
4,20000,129,51
4,20000,119,47
4,20000,264,72
4,20000,105,49
4,20000,116,45
4,20000,98,56
4,20000,122,41
4,20000,131,50
4,20000,140,69
4,20000,122,57
4,20000,125,40
4,20000,116,50
4,20000,107,55
4,20000,128,46
4,20000,114,48
4,20000,107,35
4,20000,111,45
4,20000,120,41
4,20000,123,37
4,20000,104,61
4,20000,123,51
4,20000,116,46
4,20000,121,37
4,20000,132,52
4,20000,137,48
4,20000,120,48
4,20000,124,43
4,20000,104,46
4,20000,109,50
4,20000,116,54
4,20000,114,43
4,20000,127,53
4,20000,103,40
4,20000,120,45
4,20000,108,56
4,20000,126,52
4,20000,141,58
4,20000,139,49
4,20000,112,39
4,20000,143,52
4,20000,119,52
4,20000,106,39
4,20000,102,49
4,20000,113,48
4,20000,110,48
4,20000,116,45
4,20000,114,46
4,20000,108,40
4,20000,118,52
4,20000,125,56
4,20000,114,43
4,20000,117,53
4,20000,137,53
4,20000,118,35
4,20000,137,51
4,20000,115,64
4,20000,121,56
4,20000,122,63
4,20000,123,65
4,20000,139,51
4,20000,111,47
4,20000,121,50
4,20000,137,39
4,20000,115,46
4,20000,126,47
4,20000,127,57
4,20000,128,54
4,20000,135,40
4,20000,135,48
